experience_id,tag_id
1,1
1,2
1,3
1,9
1,12
1,20
1,26
2,1
2,2
2,3
2,9
2,12
2,20
2,26
3,1
3,2
3,3
3,9
3,12
3,20
3,26
4,1
4,2
4,3
4,4
4,10
4,11
4,22
4,25
5,1
5,2
5,3
5,4
5,10
5,11
5,25
6,1
6,2
6,3
6,4
6,10
6,11
6,25
7,1
7,2
7,3
7,5
7,7
7,17
7,25
8,1
8,2
8,3
8,5
8,7
8,14
8,24
9,1
9,2
9,3
9,5
9,7
9,13
9,23
10,1
10,2
10,3
10,12
10,20
10,26
11,1
11,2
11,3
11,12
11,20
11,26
12,1
12,2
12,3
12,12
12,20
12,26
13,1
13,2
13,3
13,4
13,10
13,25
14,1
14,2
14,3
14,4
14,10
14,24
15,1
15,2
15,3
15,4
15,10
15,22
15,25
16,1
16,2
16,3
16,4
16,10
16,24
17,1
17,2
17,3
17,4
17,10
17,25
18,1
18,2
18,3
18,4
18,10
18,24
19,1
19,2
19,3
19,4
19,10
19,24
20,1
20,2
20,3
20,6
20,8
20,21
20,26
21,1
21,2
21,3
21,6
21,8
21,21
21,26
22,1
22,2
22,3
22,6
22,8
22,21
22,26
23,1
23,2
23,3
23,4
23,10
23,19
23,24
24,1
24,2
24,3
24,4
24,10
24,15
24,25
25,1
25,2
25,3
25,4
25,10
25,16
25,24
26,1
26,2
26,3
26,4
26,10
26,24
27,1
27,2
27,3
27,4
27,10
27,19
27,24
28,1
28,2
28,3
28,4
28,10
28,19
28,24
29,1
29,2
29,3
29,4
29,10
29,17
29,25
30,1
30,2
30,3
30,4
30,10
30,17
30,24
